T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
78.3432325314093,493959471.737505,501011658.952868,1250510187.53344,1199716116.99557,1744469659.27094,1700727775.94844,22267011.4987493,21708675.0344199
78.5277639841536,498083171.010131,505032239.416653,1263046693.72116,1212177803.86365,1761129864.73129,1717210043.28031,22426843.3963681,21867553.0311185
78.712295436898,502236434.652125,509082209.380145,1275672581.52463,1224729832.03741,1777909016.17676,1733812041.41756,22587437.0243376,22027207.2096222
78.8968268896424,506419403.148788,513161712.278021,1288388271.74452,1237372643.13108,1794807674.89331,1750534355.4091,22748794.1642446,22187639.537901
79.0813583423868,510632217.659337,517270892.047661,1301194192.38546,1250106686.79162,1811826410.0448,1767377578.83928,22910916.6635369,22348852.0676501
79.2658897951312,514875019.786466,521409892.696959,1314090776.19266,1262932411.69617,1828965795.97913,1784342304.39313,23073806.4130026,22510846.8356124
79.4504212478755,519147951.141979,525578858.791073,1327078455.98746,1275850252.4072,1846226407.12944,1801429111.19827,23237465.3040514,22673625.6782312
79.6349527006199,523451153.660547,529777935.239705,1340157662.83906,1288860634.76027,1863608816.49961,1818638569.99997,23401895.1937757,22837190.3081077
79.8194841533643,527784770.019869,534007267.050646,1353328823.7844,1301963985.57959,1881113593.80427,1835971252.63023,23567097.860293,23001542.4465942
80.0040156061087,532148943.00179,538266999.829325,1366592365.29523,1315160738.87505,1898741308.29702,1853427738.70438,23733075.0706515,23166683.8830887
80.1885470588531,536543815.458463,542557279.41761,1379948714.14073,1328451331.49939,1916492529.5992,1871008610.917,23899828.5929933,23332616.4339098
80.3730785115974,540969530.922356,546878251.81602,1393398299.96811,1341836199.40692,1934367830.89047,1888714451.22294,24067360.2060466,23499341.8983316
80.5576099643418,545426233.307473,551230063.646765,1406941554.03864,1355315774.99065,1952367787.34612,1906545838.63741,24235671.6944763,23666862.008327
80.7421414170862,549914066.534937,555612861.685619,1420578907.6404,1368890489.7894,1970492974.17534,1924503351.47502,24404764.8430159,23835178.4795599
80.9266728698306,554433174.882256,560026792.955103,1434310793.16328,1382560782.50209,1988743968.04554,1942587575.45719,24574641.4367234,24004293.1068373
81.111204322575,558983703.322098,564472005.081794,1448137645.14638,1396327109.35556,2007121348.46848,1960799114.43735,24745303.2612904,24174207.8787082
81.2957357753193,563565796.907422,568948645.789455,1462059898.37703,1410189929.18749,2025625695.28445,1979138574.97695,24916752.1024817,24344924.812325
81.4802672280637,568179600.784557,573456863.202902,1476077988.57635,1424149699.48398,2044257589.36091,1997606562.68688,25088989.7541279,24516445.8940574
81.6647986808081,572825260.840471,577996806.076381,1490192358.87248,1438206875.60986,2063017619.71295,2016203681.68624,25262018.07404,24688773.0619632
81.8493301335525,577502923.314957,582568623.237359,1504403455.9221,1452361912.48417,2081906379.23706,2034930535.72153,25435838.9505074,24861908.2460006
82.0338615862969,582212734.455635,587172463.950759,1518711726.37079,1466615258.75644,2100924460.82642,2053787722.7072,25610454.2713981,25035853.2828055
82.2183930390412,586954840.921498,591808477.930286,1533117614.48419,1480967356.64427,2120072455.40569,2072775834.57455,25785865.8803419,25210609.9132745
82.4029244917856,591729390.054212,596476814.953389,1547621560.57852,1495418648.48681,2139350950.63274,2091895463.4402,25962075.5475567,25386179.8774175
82.58745594453,596536529.259768,601177625.329447,1562224004.59786,1509969581.70941,2158760533.85763,2111147207.03886,26139085.0363432,25562564.9578467
82.7719873972744,601376406.055557,605911059.72496,1576925386.97268,1524620607.15213,2178301793.02824,2130531666.87709,26316896.1118826,25739766.9657767
82.9565188500188,606249168.689725,610677268.895465,1591726151.32405,1539372175.19305,2197975320.01378,2150049444.08851,26495510.5516918,25917787.7036711
83.1410503027631,611154965.704924,615476404.180388,1606626742.55891,1554224732.48983,2217781708.26383,2169701136.67022,26674930.1382592,26096628.9082501
83.3255817555075,616093945.653995,620308617.171289,1621627605.62711,1569178724.09362,2237721551.28111,2189487341.2649,26855156.6542185,26276292.2878453
83.5101132082519,621066257.535895,625174059.613189,1636729187.35216,1584234600.93705,2257795444.88806,2209408660.55023,27036191.8884619,26456779.6156736
